JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
758,474,23,71,24,450,474,,
818,465,20,69,52,413,465,,
947,462,21,72,8,454,462,,
11,459,19,72,76,383,459,,
959,457,24,78,0,457,457,,
837,456,21,67,4,452,456,,
272,440,19,70,71,369,440,,
705,440,17,75,25,415,440,,
553,437,22,66,1,436,437,,
722,434,20,65,0,434,434,,
640,426,18,71,0,426,426,,
257,423,21,66,40,383,423,,
555,420,19,70,1,419,420,,
902,417,22,76,15,402,417,,
226,393,21,76,18,375,393,,
566,378,18,71,20,358,378,,
913,378,18,67,16,362,378,,
271,377,22,62,26,351,377,,
860,375,17,72,100,275,375,,
351,374,19,69,32,342,374,,
240,364,25,74,7,357,364,,
438,362,22,75,50,312,362,,
862,357,16,69,17,340,357,,
918,348,22,77,21,327,348,,
463,347,25,62,49,298,347,,
614,341,19,72,49,292,341,,
605,340,20,66,27,313,340,,
308,334,19,80,20,314,334,,
547,332,22,68,25,307,332,,
890,328,17,75,13,315,328,,
896,328,18,65,16,312,328,,
895,327,18,69,49,278,327,,
469,324,23,68,47,277,324,,
696,323,22,74,11,312,323,,
517,318,22,65,5,313,318,,
753,317,23,70,13,304,317,,
400,314,19,74,244,70,314,,
875,311,22,71,47,264,311,,
813,305,20,69,2,303,305,,
218,300,22,65,230,70,300,,
102,297,20,75,23,274,297,,
656,296,23,71,9,287,296,,
942,289,22,65,1,288,289,,
10,287,17,78,28,259,287,,
762,286,17,67,3,283,286,,
436,282,22,76,54,228,282,,
873,282,17,70,40,242,282,,
949,281,22,65,3,278,281,,
91,272,18,66,88,184,272,,
582,266,19,77,22,244,266,,
941,266,21,76,28,238,266,,
15,262,18,65,50,212,262,,
348,260,19,66,42,218,260,,
298,259,17,77,30,229,259,,
584,254,20,69,13,241,254,,
835,254,22,68,11,243,254,,
737,252,26,65,4,248,252,,
36,251,17,67,36,215,251,,
867,248,20,72,115,133,248,,
917,248,22,75,5,243,248,,
665,247,23,68,0,247,247,,
806,243,23,75,1,242,243,,
318,239,29,71,59,180,239,,
952,236,22,73,9,227,236,,
235,235,20,64,9,226,235,,
686,235,26,62,7,228,235,,
392,233,26,68,7,226,233,,
940,230,25,68,0,230,230,,
684,227,18,68,11,216,227,,
109,224,21,73,29,195,224,,
978,212,22,68,5,207,212,,
863,209,23,64,23,186,209,,
447,205,21,73,82,123,205,,
534,203,24,67,0,203,203,,
718,203,20,61,18,185,203,,
322,202,20,73,7,195,202,,
398,197,18,69,147,50,197,,
180,196,25,79,81,115,196,,
799,195,23,65,0,195,195,,
28,194,20,68,39,155,194,,
184,194,20,70,160,34,194,,
961,194,22,69,0,194,194,,
994,191,28,67,14,177,191,,
697,186,23,68,68,118,186,,
239,184,22,70,23,161,184,,
516,184,17,64,25,159,184,,
831,184,22,69,14,170,184,,
62,182,19,67,73,109,182,,
662,180,22,64,20,160,180,,
95,177,21,63,159,18,177,,
67,176,18,69,59,117,176,,
946,174,27,70,1,173,174,,
543,170,17,66,35,135,170,,
830,169,23,71,6,163,169,,
569,168,25,70,9,159,168,,
632,165,26,66,8,157,165,,
179,163,19,63,19,144,163,,
763,163,25,78,2,161,163,,
914,163,22,66,3,160,163,,
1013,163,17,81,36,127,163,,
979,162,23,76,13,149,162,,
734,160,24,61,0,160,160,,
576,155,27,60,9,146,155,,
446,154,21,67,41,113,154,,
637,154,26,65,2,152,154,,
24,152,21,64,5,147,152,,
130,151,20,67,30,121,151,,
247,151,22,65,5,146,151,,
379,149,20,66,29,120,149,,
963,149,20,71,1,148,149,,
711,148,22,62,30,118,148,,
461,147,21,68,8,139,147,,
739,147,19,72,6,141,147,,
47,146,21,62,32,114,146,,
563,144,21,64,28,116,144,,
871,143,17,66,40,103,143,,
995,142,20,68,40,102,142,,
832,140,16,74,11,129,140,,
93,139,17,61,22,117,139,,
465,138,20,70,2,136,138,,
567,138,19,62,1,137,138,,
56,136,23,67,42,94,136,,
97,133,18,73,91,42,133,,
160,132,21,73,40,92,132,,
205,130,22,60,71,59,130,,
364,128,22,65,1,127,128,,
508,128,20,63,49,79,128,,
585,128,21,67,2,126,128,,
621,127,29,73,2,125,127,,
723,127,17,66,0,127,127,,
989,127,31,71,25,102,127,,
98,126,16,65,61,65,126,,
413,126,20,69,14,112,126,,
804,125,28,70,0,125,125,,
103,124,25,74,45,79,124,,
440,124,22,71,52,72,124,,
955,123,23,67,1,122,123,,
99,121,22,73,21,100,121,,
557,120,27,64,0,120,120,,
1,119,17,74,13,106,119,676197,58130
107,119,20,67,32,87,119,,
962,119,24,70,0,119,119,,
462,118,24,65,34,84,118,,
18,111,18,63,22,89,111,,
224,111,18,65,29,82,111,,
483,111,20,59,3,108,111,,
244,110,22,63,27,83,110,,
518,110,23,68,4,106,110,,
197,109,22,64,37,72,109,,
163,107,18,66,35,72,107,,
33,106,18,74,24,82,106,,
444,106,19,68,33,73,106,,
173,104,21,73,52,52,104,,
800,104,25,79,0,104,104,,
195,103,24,69,18,85,103,,
204,103,24,78,67,36,103,,
106,102,25,70,50,52,102,,
125,102,28,64,2,100,102,,
766,101,19,64,0,101,101,,
126,100,24,62,34,66,100,,
442,100,22,73,21,79,100,,
561,99,27,75,1,98,99,,
309,98,26,70,0,98,98,,
554,98,30,68,0,98,98,,
64,97,26,62,21,76,97,,
53,96,23,74,21,75,96,,
574,96,27,65,0,96,96,,
16,95,23,67,14,81,95,,
380,95,22,63,20,75,95,,
551,95,27,64,0,95,95,,
692,95,18,65,4,91,95,,
638,94,35,72,0,94,94,,
17,92,26,75,9,83,92,,
202,91,24,63,30,61,91,,
114,90,16,61,20,70,90,,
216,90,21,60,57,33,90,,
974,88,22,70,1,87,88,,
101,87,19,62,47,40,87,,
506,87,26,64,1,86,87,,
548,87,20,58,0,87,87,,
992,87,25,67,2,85,87,,
474,86,22,66,10,76,86,,
127,85,23,67,3,82,85,,
892,85,22,69,2,83,85,,
985,85,25,76,8,77,85,,
