JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
523,4,28,42,0,4,4,,
556,4,43,53,0,4,4,,
560,4,32,46,0,4,4,,
607,4,40,43,0,4,4,,
616,4,42,44,0,4,4,,
660,4,36,47,0,4,4,,
708,4,23,53,0,4,4,,
726,4,39,46,0,4,4,,
773,4,38,41,0,4,4,,
775,4,42,53,4,0,4,,
817,4,34,47,0,4,4,,
826,4,46,48,4,0,4,,
843,4,29,50,2,2,4,,
845,4,46,49,0,4,4,,
907,4,23,56,0,4,4,,
911,4,43,46,0,4,4,,
929,4,38,47,0,4,4,,
950,4,26,30,0,4,4,,
1001,4,23,50,1,3,4,,
112,3,42,51,0,3,3,,
120,3,23,30,0,3,3,,
138,3,27,50,0,3,3,,
152,3,40,47,0,3,3,,
172,3,27,29,0,3,3,,
183,3,22,24,0,3,3,,
223,3,26,66,1,2,3,,
227,3,22,40,3,0,3,,
275,3,55,57,0,3,3,,
284,3,26,52,0,3,3,,
291,3,37,48,0,3,3,,
293,3,50,54,0,3,3,,
302,3,48,51,0,3,3,,
353,3,56,59,0,3,3,,
359,3,47,49,0,3,3,,
402,3,28,56,2,1,3,,
428,3,22,47,1,2,3,,
439,3,58,62,0,3,3,,
453,3,35,37,0,3,3,,
486,3,44,52,0,3,3,,
489,3,35,48,0,3,3,,
492,3,33,47,0,3,3,,
515,3,44,46,0,3,3,,
524,3,46,50,0,3,3,,
530,3,44,47,0,3,3,,
532,3,44,46,0,3,3,,
539,3,38,46,0,3,3,,
575,3,44,46,0,3,3,,
590,3,42,44,0,3,3,,
608,3,44,47,0,3,3,,
618,3,35,37,0,3,3,,
623,3,24,43,0,3,3,,
626,3,47,53,0,3,3,,
631,3,47,59,0,3,3,,
650,3,33,54,0,3,3,,
653,3,53,54,0,3,3,,
700,3,44,48,0,3,3,,
729,3,50,52,0,3,3,,
746,3,47,52,0,3,3,,
765,3,32,50,0,3,3,,
768,3,50,52,0,3,3,,
779,3,35,52,1,2,3,,
782,3,44,46,0,3,3,,
783,3,38,45,0,3,3,,
784,3,41,45,0,3,3,,
825,3,25,38,0,3,3,,
834,3,39,62,0,3,3,,
840,3,41,42,0,3,3,,
857,3,55,57,0,3,3,,
881,3,43,48,0,3,3,,
882,3,37,39,0,3,3,,
887,3,29,31,0,3,3,,
893,3,44,46,0,3,3,,
984,3,34,49,0,3,3,,
999,3,41,43,0,3,3,,
1006,3,27,41,0,3,3,,
3,2,18,20,0,2,2,,
31,2,17,17,0,2,2,,
34,2,32,36,0,2,2,,
35,2,36,44,1,1,2,,
41,2,53,53,0,2,2,,
52,2,44,45,0,2,2,,
117,2,30,31,0,2,2,,
128,2,51,59,1,1,2,,
139,2,26,55,0,2,2,,
142,2,47,47,0,2,2,,
154,2,51,59,0,2,2,,
155,2,24,30,0,2,2,,
159,2,33,33,1,1,2,,
209,2,27,28,1,1,2,,
211,2,55,64,2,0,2,,
242,2,43,54,0,2,2,,
248,2,56,61,0,2,2,,
253,2,63,63,0,2,2,,
264,2,35,36,0,2,2,,
278,2,47,48,0,2,2,,
285,2,44,46,0,2,2,,
287,2,40,58,0,2,2,,
296,2,24,39,0,2,2,,
299,2,55,60,0,2,2,,
307,2,47,68,0,2,2,,
324,2,33,44,0,2,2,,
346,2,25,81,1,1,2,,
349,2,24,27,0,2,2,,
376,2,44,55,0,2,2,,
389,2,45,46,0,2,2,,
394,2,48,50,0,2,2,,
406,2,25,31,1,1,2,,
407,2,33,44,1,1,2,,
424,2,30,30,0,2,2,,
432,2,36,51,0,2,2,,
434,2,21,38,1,1,2,,
459,2,48,53,0,2,2,,
471,2,26,37,0,2,2,,
472,2,19,37,0,2,2,,
488,2,42,55,0,2,2,,
490,2,41,45,0,2,2,,
498,2,49,55,0,2,2,,
499,2,40,41,0,2,2,,
501,2,19,31,0,2,2,,
502,2,42,58,0,2,2,,
503,2,40,41,0,2,2,,
505,2,32,33,0,2,2,,
512,2,48,50,0,2,2,,
513,2,46,48,0,2,2,,
522,2,18,32,0,2,2,,
526,2,36,56,0,2,2,,
527,2,48,49,0,2,2,,
528,2,44,46,0,2,2,,
529,2,49,49,0,2,2,,
538,2,43,44,0,2,2,,
542,2,36,53,0,2,2,,
580,2,37,37,0,2,2,,
588,2,45,52,0,2,2,,
604,2,40,44,0,2,2,,
615,2,42,44,0,2,2,,
624,2,43,45,0,2,2,,
627,2,19,52,0,2,2,,
628,2,55,56,0,2,2,,
629,2,50,51,0,2,2,,
630,2,49,58,0,2,2,,
634,2,50,59,0,2,2,,
654,2,51,55,0,2,2,,
657,2,41,42,0,2,2,,
681,2,42,43,0,2,2,,
702,2,52,54,0,2,2,,
712,2,46,47,2,0,2,,
713,2,51,51,0,2,2,,
719,2,39,40,0,2,2,,
730,2,62,63,0,2,2,,
748,2,50,53,0,2,2,,
770,2,65,65,0,2,2,,
792,2,43,44,0,2,2,,
794,2,58,61,0,2,2,,
802,2,38,39,2,0,2,,
814,2,49,50,0,2,2,,
815,2,40,50,0,2,2,,
819,2,49,61,0,2,2,,
820,2,36,37,0,2,2,,
822,2,58,59,0,2,2,,
839,2,40,40,0,2,2,,
842,2,46,59,0,2,2,,
844,2,39,40,0,2,2,,
886,2,18,22,2,0,2,,
888,2,31,33,0,2,2,,
903,2,45,46,2,0,2,,
912,2,48,49,0,2,2,,
924,2,46,59,0,2,2,,
965,2,46,48,0,2,2,,
986,2,37,54,0,2,2,,
1000,2,40,44,0,2,2,,
1002,2,35,47,1,1,2,,
1004,2,28,44,1,1,2,,
1007,2,37,40,0,2,2,,
1009,2,27,52,1,1,2,,
1010,2,33,53,0,2,2,,
1012,2,39,68,1,1,2,,
1014,2,22,25,0,2,2,,
1015,2,28,45,0,2,2,,
1017,2,41,41,0,2,2,,
