JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male
314,12,33,60,4,8
315,4319,17,80,327,3992
316,634,22,83,142,492
317,61,26,67,21,40
318,239,29,71,59,180
319,66,19,64,18,48
320,38,24,64,17,21
321,81,29,66,16,65
322,202,20,73,7,195
323,81,21,65,9,72
324,2,33,44,0,2
325,10,34,59,0,10
326,28,17,65,6,22
327,9,42,61,0,9
328,586,17,74,40,546
329,5994,17,81,1385,4609
330,12,19,67,7,5
331,4,40,60,0,4
332,7,44,49,0,7
333,26,18,64,7,19
334,6,37,51,5,1
335,44,24,67,19,25
336,19,26,61,0,19
337,781,17,64,293,488
338,78,22,65,13,65
339,10,28,59,0,10
340,8,38,61,0,8
341,4,40,58,2,2
342,4,40,45,0,4
343,5,20,68,0,5
344,4,40,50,0,4
345,7,29,63,0,7
346,2,25,81,1,1
347,4,53,55,0,4
348,260,19,66,42,218
349,2,24,27,0,2
350,1512,22,76,255,1257
351,374,19,69,32,342
352,8842,19,75,1299,7543
353,3,56,59,0,3
354,15,39,60,0,15
355,5,39,64,0,5
356,1400,20,78,381,1019
357,65,26,64,2,63
358,15,24,62,10,5
359,3,47,49,0,3
360,26,24,67,1,25
361,26,29,57,5,21
362,32,29,62,3,29
363,22,25,62,0,22
364,128,22,65,1,127
365,9,30,58,1,8
366,8,20,50,0,8
367,19,22,62,2,17
368,33,34,60,0,33
369,5,25,53,0,5
370,20,20,36,17,3
371,61,23,63,7,54
372,31,23,62,12,19
373,71,24,61,15,56
374,5,47,61,0,5
375,8,25,56,0,8
376,2,44,55,0,2
377,4,28,31,0,4
378,30,19,65,8,22
379,149,20,66,29,120
380,95,22,63,20,75
381,13,27,63,2,11
382,16,37,55,11,5
383,22,28,60,1,21
384,9,26,69,0,9
385,21,20,42,2,19
386,590,21,60,123,467
387,8,23,38,0,8
388,5451,19,73,158,5293
389,2,45,46,0,2
390,6,49,63,0,6
391,16,24,56,0,16
392,233,26,68,7,226
393,12,32,58,1,11
394,2,48,50,0,2
395,7,51,65,1,6
396,3169,21,73,212,2957
397,31,24,69,0,31
398,197,18,69,147,50
399,484,18,63,419,65
400,314,19,74,244,70
401,1786,23,82,139,1647
402,3,28,56,2,1
403,45,16,58,33,12
404,13,37,65,5,8
405,5,32,57,2,3
406,2,25,31,1,1
407,2,33,44,1,1
408,64,20,63,37,27
409,36,26,66,0,36
410,6,27,52,3,3
411,63,24,65,11,52
412,17,33,69,2,15
413,126,20,69,14,112
414,3351,21,76,631,2720
415,17,39,53,0,17
416,6,56,59,0,6
417,6,39,52,0,6
418,22,23,72,3,19
419,9,53,62,2,7
420,9,29,54,0,9
421,7,45,64,0,7
422,6,30,57,2,4
423,6,19,66,3,3
424,2,30,30,0,2
425,5,44,66,2,3
426,4,30,46,3,1
427,17,19,49,6,11
428,3,22,47,1,2
429,16,27,60,1,15
430,5850,17,76,485,5365
431,21,41,55,0,21
432,2,36,51,0,2
433,15,23,63,0,15
434,2,21,38,1,1
435,951,18,72,166,785
436,282,22,76,54,228
437,1644,16,75,404,1240
438,362,22,75,50,312
439,3,58,62,0,3
440,124,22,71,52,72
441,53,22,67,18,35
442,100,22,73,21,79
443,10,30,51,0,10
444,106,19,68,33,73
445,48,20,57,3,45
446,154,21,67,41,113
447,205,21,73,82,123
448,6,38,41,1,5
449,53,32,67,16,37
450,4,36,43,0,4
451,5,33,58,0,5
452,15,33,72,1,14
