JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
843,4,29,50,2,2,4,,
844,2,39,40,0,2,2,,
845,4,46,49,0,4,4,,
846,795,17,72,193,602,795,,
847,59,28,62,2,57,59,,
848,43,20,62,5,38,43,,
849,1936,17,73,472,1464,1936,,
850,10416,16,83,1280,9136,10416,,
851,6,53,62,0,6,6,,
852,12,38,63,0,12,12,,
853,1439,17,73,248,1191,1439,,
854,1084,20,74,104,980,1084,,
855,852,18,78,37,815,852,,
856,542,16,72,126,416,542,,
857,3,55,57,0,3,3,,
858,7,32,62,1,6,7,,
859,796,22,80,52,744,796,,
860,375,17,72,100,275,375,,
861,739,17,85,169,570,739,,
862,357,16,69,17,340,357,,
863,209,23,64,23,186,209,,
864,2207,18,76,148,2059,2207,,
865,43,20,64,3,40,43,,
866,33,21,61,1,32,33,,
867,248,20,72,115,133,248,,
868,41,34,67,1,40,41,,
869,30,31,71,13,17,30,,
870,22,21,64,6,16,22,,
871,143,17,66,40,103,143,,
872,43,17,68,14,29,43,,
873,282,17,70,40,242,282,,
874,60,22,62,17,43,60,,
875,311,22,71,47,264,311,,
876,825,16,70,307,518,825,,
877,58,16,58,28,30,58,,
878,70,19,62,17,53,70,,
879,20,24,78,14,6,20,,
880,5,25,61,3,2,5,,
881,3,43,48,0,3,3,,
882,3,37,39,0,3,3,,
883,1575,17,81,102,1473,1575,,
884,3581,20,77,318,3263,3581,,
885,646,20,72,5,641,646,,
886,2,18,22,2,0,2,,
887,3,29,31,0,3,3,,
888,2,31,33,0,2,2,,
889,8,26,49,0,8,8,,
890,328,17,75,13,315,328,,
891,4767,19,78,270,4497,4767,,
892,85,22,69,2,83,85,,
893,3,44,46,0,3,3,,
894,1429,17,76,79,1350,1429,,
895,327,18,69,49,278,327,,
896,328,18,65,16,312,328,,
897,800,18,77,37,763,800,,
898,12479,16,81,410,12069,12479,,
899,490,25,74,12,478,490,,
900,12,52,59,0,12,12,,
901,5,34,63,0,5,5,,
902,417,22,76,15,402,417,,
903,2,45,46,2,0,2,,
904,820,17,78,45,775,820,,
905,6,22,57,1,5,6,,
906,15,38,58,0,15,15,,
907,4,23,56,0,4,4,,
908,57,20,56,0,57,57,,
909,29,23,58,4,25,29,,
910,47,20,74,2,45,47,,
911,4,43,46,0,4,4,,
912,2,48,49,0,2,2,,
913,378,18,67,16,362,378,,
914,163,22,66,3,160,163,,
915,7,47,54,1,6,7,,
916,66,33,68,0,66,66,,
917,248,22,75,5,243,248,,
918,348,22,77,21,327,348,,
919,709,22,73,60,649,709,,
920,35,31,72,0,35,35,,
921,27,27,65,1,26,27,,
922,7,30,49,4,3,7,,
923,76,18,74,14,62,76,,
924,2,46,59,0,2,2,,
925,47,24,69,1,46,47,,
926,14,22,60,8,6,14,,
927,17,22,64,1,16,17,,
928,23,28,55,0,23,23,,
929,4,38,47,0,4,4,,
930,631,20,78,6,625,631,,
931,1611,19,78,11,1600,1611,,
932,36,23,67,0,36,36,,
933,908,20,72,11,897,908,,
934,5936,19,81,254,5682,5936,,
935,3434,19,76,139,3295,3434,,
936,35,30,63,0,35,35,,
937,57,18,64,9,48,57,,
938,1328,17,73,80,1248,1328,,
939,25,27,72,0,25,25,,
940,230,25,68,0,230,230,,
941,266,21,76,28,238,266,,
942,289,22,65,1,288,289,,
943,718,21,70,28,690,718,,
944,8,38,63,0,8,8,,
945,51,22,66,0,51,51,,
946,174,27,70,1,173,174,,
947,462,21,72,8,454,462,,
948,82,24,67,1,81,82,,
949,281,22,65,3,278,281,,
950,4,26,30,0,4,4,,
951,538,20,69,14,524,538,,
952,236,22,73,9,227,236,,
953,28,32,60,0,28,28,,
954,13,23,58,2,11,13,,
955,123,23,67,1,122,123,,
956,6,30,47,0,6,6,,
957,10,38,48,0,10,10,,
958,45,22,61,10,35,45,,
959,457,24,78,0,457,457,,
960,38,40,65,0,38,38,,
961,194,22,69,0,194,194,,
962,119,24,70,0,119,119,,
963,149,20,71,1,148,149,,
964,943,22,75,41,902,943,,
965,2,46,48,0,2,2,,
966,555,19,66,18,537,555,,
967,19,24,54,3,16,19,,
968,9,30,49,0,9,9,,
969,1520,18,72,30,1490,1520,,
970,28,26,53,0,28,28,,
971,535,20,80,19,516,535,,
972,77,27,71,0,77,77,,
973,16,30,62,2,14,16,,
974,88,22,70,1,87,88,,
975,25,35,64,1,24,25,,
976,20,29,68,1,19,20,,
977,12,41,58,4,8,12,,
978,212,22,68,5,207,212,,
979,162,23,76,13,149,162,,
980,37,40,74,1,36,37,,
981,78,34,78,9,69,78,,
982,22,24,69,5,17,22,,
983,5,36,55,0,5,5,,
984,3,34,49,0,3,3,,
985,85,25,76,8,77,85,,
986,2,37,54,0,2,2,,
987,28,26,58,3,25,28,,
988,1844,17,74,160,1684,1844,,
989,127,31,71,25,102,127,,
990,11,19,60,0,11,11,,
991,3499,17,78,430,3069,3499,,
992,87,25,67,2,85,87,,
993,51,23,64,5,46,51,,
994,191,28,67,14,177,191,,
995,142,20,68,40,102,142,,
996,73,28,64,8,65,73,,
997,2248,17,74,126,2122,2248,,
998,8421,16,81,861,7560,8421,,
999,3,41,43,0,3,3,,
1000,2,40,44,0,2,2,,
1001,4,23,50,1,3,4,,
1002,2,35,47,1,1,2,,
1003,6,29,53,1,5,6,,
1004,2,28,44,1,1,2,,
1005,5,22,48,0,5,5,,
1006,3,27,41,0,3,3,,
1007,2,37,40,0,2,2,,
1008,7779,16,86,956,6823,7779,,
1009,2,27,52,1,1,2,,
1010,2,33,53,0,2,2,,
1011,13309,17,82,619,12690,13309,,
1012,2,39,68,1,1,2,,
1013,163,17,81,36,127,163,,
1014,2,22,25,0,2,2,,
1015,2,28,45,0,2,2,,
1016,8,27,57,0,8,8,,
1017,2,41,41,0,2,2,,
