JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
196,51,24,61,27,24,51,,
197,109,22,64,37,72,109,,
198,6,29,53,5,1,6,,
199,42,23,63,18,24,42,,
200,6,31,46,0,6,6,,
201,67,26,66,25,42,67,,
202,91,24,63,30,61,91,,
203,10,23,61,7,3,10,,
204,103,24,78,67,36,103,,
205,130,22,60,71,59,130,,
206,44,28,55,5,39,44,,
207,25,30,60,0,25,25,,
208,66,26,79,44,22,66,,
209,2,27,28,1,1,2,,
210,7,28,56,3,4,7,,
211,2,55,64,2,0,2,,
212,12,28,60,5,7,12,,
213,14,28,61,4,10,14,,
214,52,22,63,8,44,52,,
215,58,26,68,39,19,58,,
216,90,21,60,57,33,90,,
217,81,22,76,28,53,81,,
218,300,22,65,230,70,300,,
219,58,24,70,25,33,58,,
220,46,27,63,8,38,46,,
221,6,23,47,3,3,6,,
222,1252,19,75,371,881,1252,,
223,3,26,66,1,2,3,,
224,111,18,65,29,82,111,,
225,47,25,67,26,21,47,,
226,393,21,76,18,375,393,,
227,3,22,40,3,0,3,,
228,33,24,63,4,29,33,,
229,6,35,52,0,6,6,,
230,12,18,54,0,12,12,,
231,38,23,60,0,38,38,,
232,4281,18,75,303,3978,4281,,
233,21635,17,81,1079,20556,21635,,
234,661,19,66,64,597,661,,
235,235,20,64,9,226,235,,
236,11,38,60,0,11,11,,
237,560,21,84,53,507,560,,
238,21,28,61,6,15,21,,
239,184,22,70,23,161,184,,
240,364,25,74,7,357,364,,
241,2576,18,71,81,2495,2576,,
242,2,43,54,0,2,2,,
243,52,29,62,0,52,52,,
244,110,22,63,27,83,110,,
245,843,22,71,128,715,843,,
246,8,32,55,0,8,8,,
247,151,22,65,5,146,151,,
248,2,56,61,0,2,2,,
249,12093,17,80,708,11385,12093,,
250,20,26,55,0,20,20,,
251,14080,16,73,1025,13055,14080,,
252,4,31,34,0,4,4,,
253,2,63,63,0,2,2,,
254,14,26,50,0,14,14,,
255,4,32,54,0,4,4,,
256,3564,17,75,253,3311,3564,,
257,423,21,66,40,383,423,,
258,4182,17,75,291,3891,4182,,
259,8290,18,79,307,7983,8290,,
260,36,29,65,1,35,36,,
261,677,22,74,83,594,677,,
262,1579,20,73,175,1404,1579,,
263,71,28,67,5,66,71,,
264,2,35,36,0,2,2,,
265,24,28,61,2,22,24,,
266,43,21,62,1,42,43,,
267,24,21,66,1,23,24,,
268,7,47,55,0,7,7,,
269,46,21,55,5,41,46,,
270,700,21,71,175,525,700,,
271,377,22,62,26,351,377,,
272,440,19,70,71,369,440,,
273,535,22,69,69,466,535,,
274,481,18,60,107,374,481,,
275,3,55,57,0,3,3,,
276,62,18,62,3,59,62,,
277,43,30,61,6,37,43,,
278,2,47,48,0,2,2,,
279,27,27,56,0,27,27,,
280,46,22,61,0,46,46,,
281,11,30,55,0,11,11,,
282,18,24,64,0,18,18,,
283,47,31,54,3,44,47,,
284,3,26,52,0,3,3,,
285,2,44,46,0,2,2,,
286,46,20,59,8,38,46,,
287,2,40,58,0,2,2,,
288,4,30,46,0,4,4,,
289,14,21,59,2,12,14,,
290,19,38,59,0,19,19,,
291,3,37,48,0,3,3,,
292,6,43,50,0,6,6,,
293,3,50,54,0,3,3,,
294,18,20,55,1,17,18,,
295,1539,17,82,87,1452,1539,,
296,2,24,39,0,2,2,,
297,41,31,63,10,31,41,,
298,259,17,77,30,229,259,,
299,2,55,60,0,2,2,,
300,17,29,61,1,16,17,,
301,48,18,65,4,44,48,,
302,3,48,51,0,3,3,,
303,46,26,63,11,35,46,,
304,20,25,53,0,20,20,,
305,10,48,60,0,10,10,,
306,27,21,55,8,19,27,,
307,2,47,68,0,2,2,,
308,334,19,80,20,314,334,,
309,98,26,70,0,98,98,,
310,38,23,62,18,20,38,,
311,45,31,60,4,41,45,,
312,41,24,61,6,35,41,,
313,8,18,48,8,0,8,,
314,12,33,60,4,8,12,,
315,4319,17,80,327,3992,4319,,
316,634,22,83,142,492,634,,
317,61,26,67,21,40,61,,
318,239,29,71,59,180,239,,
319,66,19,64,18,48,66,,
320,38,24,64,17,21,38,,
321,81,29,66,16,65,81,,
322,202,20,73,7,195,202,,
323,81,21,65,9,72,81,,
324,2,33,44,0,2,2,,
325,10,34,59,0,10,10,,
326,28,17,65,6,22,28,,
327,9,42,61,0,9,9,,
328,586,17,74,40,546,586,,
329,5994,17,81,1385,4609,5994,,
330,12,19,67,7,5,12,,
331,4,40,60,0,4,4,,
332,7,44,49,0,7,7,,
333,26,18,64,7,19,26,,
334,6,37,51,5,1,6,,
